Category;import net;bewaarcellen;sortering;schakelbaar volume
"00:00&ensp;<sup>10-06</sup>";28,8;14,83;3,87;6,88
"01:00&ensp;<sup>10-06</sup>";101,1;29,79;9,25;28
"02:00&ensp;<sup>10-06</sup>";132,1;31,85;11,15;11,87
"03:00&ensp;<sup>10-06</sup>";90,7;31,85;5,84;23,75
"04:00&ensp;<sup>10-06</sup>";113,35;31,29;11,17;33,63
"05:00&ensp;<sup>10-06</sup>";155,5;41,7;16,87;42
"06:00&ensp;<sup>10-06</sup>";125,8;29,73;18,19;44,13
"07:00&ensp;<sup>10-06</sup>";132,16;36,78;30,48;36,96
"08:00&ensp;<sup>10-06</sup>";96,56;33,56;30,95;37,19
"09:00&ensp;<sup>10-06</sup>";73,4;32,6;29,85;42,78
"10:00&ensp;<sup>10-06</sup>";75,2;28,77;29,6;40,9
"11:00&ensp;<sup>10-06</sup>";91,06;33,7;33,32;53,5
"12:00&ensp;<sup>10-06</sup>";23,68;44,8;24,65;50,81
"13:00&ensp;<sup>10-06</sup>";0,51;46,22;34,42;46,8
"14:00&ensp;<sup>10-06</sup>";9,45;41,41;35,61;58,28
"15:00&ensp;<sup>10-06</sup>";0;25,27;30,02;58,82
"16:00&ensp;<sup>10-06</sup>";1,75;31,8;29,85;48,2
"17:00&ensp;<sup>10-06</sup>";68,26;40,74;21,47;52,8
"18:00&ensp;<sup>10-06</sup>";13,8;28,08;22,23;47,04
"19:00&ensp;<sup>10-06</sup>";102,8;36,41;22,77;37,5
"20:00&ensp;<sup>10-06</sup>";160,32;54,98;24,8;41,09
"21:00&ensp;<sup>10-06</sup>";144,76;42,12;18,9;37,08
"22:00&ensp;<sup>10-06</sup>";152,51;49,19;15,09;35,1
"23:00&ensp;<sup>10-06</sup>";165,96;54,4;13,15;43,39
"00:00&ensp;<sup>11-06</sup>";130,46;38,78;10,64;35,93
"01:00&ensp;<sup>11-06</sup>";128,39;39,95;11,5;34,53
"02:00&ensp;<sup>11-06</sup>";109,87;32,34;8,64;28,56
"03:00&ensp;<sup>11-06</sup>";73,76;26,17;4,51;13,96
"04:00&ensp;<sup>11-06</sup>";119,14;40,93;8,35;30,4
"05:00&ensp;<sup>11-06</sup>";132,4;44,78;9,4;40,64
"06:00&ensp;<sup>11-06</sup>";118,6;39,93;17,07;37,57
"07:00&ensp;<sup>11-06</sup>";41,05;44,25;30;34,35
"08:00&ensp;<sup>11-06</sup>";65,9;47,32;33,51;53,05
"09:00&ensp;<sup>11-06</sup>";10,75;33,7;34,16;54,95
"10:00&ensp;<sup>11-06</sup>";7,04;32,84;31,01;37,45
"11:00&ensp;<sup>11-06</sup>";11,91;34;35,68;52,56
"12:00&ensp;<sup>11-06</sup>";0,9;32,63;26,69;56,9
"13:00&ensp;<sup>11-06</sup>";12,3;42,31;33,92;46,52
"14:00&ensp;<sup>11-06</sup>";18,5;41,67;26,28;41,43
"15:00&ensp;<sup>11-06</sup>";2,9;36,61;25,74;42
"16:00&ensp;<sup>11-06</sup>";2,2;37,74;31,96;34,56
"17:00&ensp;<sup>11-06</sup>";41,4;51,04;26,76;49,95
"18:00&ensp;<sup>11-06</sup>";56,55;59,76;23,22;50,92
"19:00&ensp;<sup>11-06</sup>";20,75;49,21;22,33;41,94
"20:00&ensp;<sup>11-06</sup>";104,7;42,36;21,68;48,48
"21:00&ensp;<sup>11-06</sup>";151,4;44,04;19,11;39,87
"22:00&ensp;<sup>11-06</sup>";130,3;39,24;13,03;33,82
"23:00&ensp;<sup>11-06</sup>";139,4;37,99;13,79;43,48
"00:00&ensp;<sup>12-06</sup>";131,1;38,59;12,32;38,08
"01:00&ensp;<sup>12-06</sup>";123,94;36,77;11,96;33,79
"02:00&ensp;<sup>12-06</sup>";127,54;35,65;10,95;42,03
"03:00&ensp;<sup>12-06</sup>";127,26;39,77;10,92;34,37
"04:00&ensp;<sup>12-06</sup>";111,44;32,28;10,5;32,61
"05:00&ensp;<sup>12-06</sup>";127,84;37,4;8,82;42,63
"06:00&ensp;<sup>12-06</sup>";109,96;39,24;16,64;35,53
"07:00&ensp;<sup>12-06</sup>";3,9;1,05;0,76;1,12
